ID,SAMPLE_NUM,BAT,TEMP,PH,DO,LATITUD,LONGITUD,COND,ORP,DATE
SW1,12.0,42.0,25.47,-0.64,99.2,0.0,0.0,1.2,-0.012,"2021-05-21 11:19:44.433543"
SW1,13.0,42.0,25.48,-0.69,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:19:56.960386"
SW1,14.0,42.0,25.48,-0.73,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:20:09.485983"
SW1,15.0,42.0,25.5,-0.77,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:20:22.035128"
SW1,16.0,42.0,25.51,-0.81,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:20:35.087429"
SW1,17.0,42.0,25.52,-0.85,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:20:47.636987"
SW1,18.0,42.0,25.53,-0.88,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:21:00.172040"
SW1,19.0,42.0,25.54,-0.92,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:21:12.702464"
SW1,20.0,42.0,25.54,-0.95,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:21:25.724674"
SW1,21.0,42.0,25.54,-0.98,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:21:38.246549"
SW1,22.0,42.0,25.54,-1.02,99.2,0.0,0.0,1.2,-0.011,"2021-05-21 11:21:50.771648"
SW1,23.0,42.0,25.55,-1.05,99.1,0.0,0.0,1.2,-0.011,"2021-05-21 11:22:03.805225"
SW1,24.0,42.0,25.54,-1.08,99.1,0.0,0.0,1.2,-0.011,"2021-05-21 11:22:16.335050"
SW1,25.0,42.0,25.54,-1.1,99.1,0.0,0.0,1.2,-0.011,"2021-05-21 11:22:28.880997"
SW1,26.0,42.0,25.54,-1.13,99.1,0.0,0.0,1.2,-0.011,"2021-05-21 11:22:41.425936"
